Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2024-10-18,236.17999267578125,236.17999267578125,234.00999450683594,235.0,235.0,46416300,AAPL
2024-10-18,417.1400146484375,419.6499938964844,416.260009765625,418.1600036621094,418.1600036621094,17138600,MSFT
2024-10-18,187.14999389648438,190.74000549316406,186.27999877929688,188.99000549316406,188.99000549316406,37379700,AMZN
2024-10-18,163.19000244140625,164.7100067138672,163.0800018310547,163.4199981689453,163.4199981689453,19750000,GOOGL
2024-10-18,164.8699951171875,166.3699951171875,164.75,165.0500030517578,165.0500030517578,13086900,GOOG
2024-10-18,138.6699981689453,138.89999389648438,137.27999877929688,138.0,138.0,175800600,NVDA
2024-10-18,220.7100067138672,222.27999877929688,219.22999572753906,220.6999969482422,220.6999969482422,49526800,TSLA
2024-10-18,467.0,467.0,463.25,464.79998779296875,464.79998779296875,5631700,BRK-B
2024-10-18,581.0999755859375,583.969970703125,575.25,576.469970703125,576.469970703125,7688000,META
2024-10-18,566.8499755859375,570.9500122070312,563.0399780273438,569.6099853515625,569.6099853515625,3686200,UNH
2024-10-18,120.44000244140625,120.63999938964844,119.1500015258789,120.01000213623047,120.01000213623047,12849800,XOM
2024-10-18,164.88999938964844,165.2899932861328,163.92999267578125,165.1199951171875,165.1199951171875,5898300,JNJ
2024-10-18,225.0,225.9199981689453,223.10000610351562,225.3699951171875,225.3699951171875,6999900,JPM
2024-10-18,289.9200134277344,291.0400085449219,288.0799865722656,290.6199951171875,290.6199951171875,5350200,V
2024-10-18,80.87000274658203,81.69000244140625,80.66000366210938,81.30999755859375,81.30999755859375,12310300,WMT
2024-10-18,170.3000030517578,172.2100067138672,168.4600067138672,171.27999877929688,171.27999877929688,8371800,PG
2024-10-18,514.5399780273438,518.0,512.5800170898438,516.3400268554688,516.3400268554688,2604600,MA
2024-10-18,416.6499938964844,416.6600036621094,413.239990234375,415.0,415.0,2436600,HD
2024-10-18,150.82000732421875,151.0800018310547,149.3800048828125,150.75,150.75,5207600,CVX
2024-10-18,188.97000122070312,189.69000244140625,188.16000366210938,188.86000061035156,188.86000061035156,5607900,ABBV
2024-10-18,69.87000274658203,70.55000305175781,69.61000061035156,70.44000244140625,70.44000244140625,15086900,KO
2024-10-18,109.9000015258789,109.91999816894531,108.55999755859375,108.69999694824219,108.69999694824219,9520200,MRK
2024-10-18,917.1799926757812,920.9199829101562,905.6199951171875,917.969970703125,917.969970703125,2286600,LLY
2024-10-18,42.43000030517578,42.650001525878906,42.11000061035156,42.31999969482422,42.31999969482422,30586400,BAC
2024-10-18,172.3000030517578,175.3300018310547,172.1199951171875,175.05999755859375,175.05999755859375,5097000,PEP
2024-10-18,29.299999237060547,29.3700008392334,29.079999923706055,29.219999313354492,29.219999313354492,24235000,PFE
2024-10-18,885.760009765625,890.6099853515625,883.75,889.5599975585938,889.5599975585938,1653600,COST
2024-10-18,600.030029296875,604.3900146484375,595.5599975585938,601.7100219726562,601.7100219726562,1081600,TMO
2024-10-18,97.01000213623047,97.54000091552734,96.05000305175781,97.27999877929688,97.27999877929688,8599200,DIS
2024-10-18,56.40999984741211,56.869998931884766,56.209999084472656,56.7599983215332,56.7599983215332,17678300,CSCO
2024-10-18,315.57000732421875,317.17999267578125,314.2300109863281,316.55999755859375,316.55999755859375,2530900,MCD
2024-10-18,117.9000015258789,119.8499984741211,117.66999816894531,119.38999938964844,119.38999938964844,6741800,ABT
2024-10-18,272.5299987792969,275.510009765625,271.30999755859375,274.3800048828125,274.3800048828125,1949800,DHR
2024-10-18,375.510009765625,377.3299865722656,373.6499938964844,376.8599853515625,376.8599853515625,1893300,ACN
2024-10-18,64.41000366210938,64.77999877929688,63.83000183105469,64.36000061035156,64.36000061035156,19232900,WFC
2024-10-18,182.32000732421875,182.7100067138672,178.67999267578125,179.88999938964844,179.88999938964844,17816300,AVGO
2024-10-18,491.2900085449219,499.0,491.04998779296875,494.8999938964844,494.8999938964844,2010800,ADBE
2024-10-18,43.83000183105469,44.16999816894531,43.66999816894531,43.9900016784668,43.9900016784668,13056400,VZ
2024-10-18,292.0400085449219,294.7099914550781,290.1499938964844,292.94000244140625,292.94000244140625,3087500,CRM
2024-10-18,199.47999572753906,199.9600067138672,196.74000549316406,198.47000122070312,198.47000122070312,4029200,TXN
2024-10-18,83.91999816894531,84.41000366210938,83.55000305175781,84.37999725341797,84.37999725341797,8594700,NEE
2024-10-18,41.95000076293945,42.369998931884766,41.869998931884766,41.93000030517578,41.93000030517578,14178200,CMCSA
2024-10-18,737.6400146484375,766.280029296875,736.22998046875,763.8900146484375,763.8900146484375,15954900,NFLX
2024-10-18,22.610000610351562,22.81999969482422,22.5,22.770000457763672,22.770000457763672,39930000,INTC
2024-10-18,483.1400146484375,487.2799987792969,481.510009765625,486.45001220703125,486.45001220703125,1255200,LIN
2024-10-18,83.77999877929688,83.94999694824219,82.62999725341797,82.91999816894531,82.91999816894531,7209900,NKE
2024-10-18,157.41000366210938,158.00999450683594,155.55999755859375,155.97000122070312,155.97000122070312,23784500,AMD
2024-10-18,89.97000122070312,92.25,89.83999633789062,92.23999786376953,92.23999786376953,7355500,MDT
2024-10-18,242.52999877929688,244.7100067138672,241.4600067138672,244.10000610351562,244.10000610351562,2865800,UNP
2024-10-18,172.11000061035156,172.5800018310547,169.4199981689453,170.9199981689453,170.9199981689453,6431900,QCOM
